大分市	city.oita.oita.jp
別府市	city.beppu.oita.jp
#中津市	city.nakatsu.oita.jp
日田市	city.hita.oita.jp
佐伯市	city.saiki.oita.jp
臼杵市	city.usuki.oita.jp
津久見市	city.tsukumi.oita.jp
竹田市	city.taketa.oita.jp
豊後高田市	city.bungotakada.oita.jp
#杵築市	city.kitsuki.oita.jp
宇佐市	city.usa.oita.jp
豊後大野市	city.bungoono.oita.jp
由布市	city.yufu.oita.jp
国東市	city.kunisaki.oita.jp
姫島村	vill.himeshima.oita.jp
#日出町	town.hiji.oita.jp
九重町	town.kokonoe.oita.jp
玖珠町	town.kusu.oita.jp
