大津市	city.otsu.shiga.jp
彦根市	city.hikone.shiga.jp
長浜市	city.nagahama.shiga.jp
近江八幡市	city.omihachiman.shiga.jp
草津市	city.kusatsu.shiga.jp
守山市	city.moriyama.shiga.jp
栗東市	city.ritto.shiga.jp
甲賀市	city.koka.shiga.jp
野洲市	city.yasu.shiga.jp
湖南市	city.konan.shiga.jp
高島市	city.takashima.shiga.jp
東近江市	city.higashiomi.shiga.jp
米原市	city.maibara.shiga.jp
#日野町	town.hino.shiga.jp
竜王町	town.ryuoh.shiga.jp
愛荘町	town.aisho.shiga.jp
豊郷町	town.toyosato.shiga.jp
#甲良町	town.kora.shiga.jp
#多賀町	town.taga.shiga.jp
